date;name;isin;invested_capital;equity;cash
2017-04-01;dynamische-relative-staerke;DE000LS9H606; 22693.69 ;0.98;0.02
2017-04-01;infinite-german-value;DE000LS9JNL6; 22377.99 ;1.0;-0.0
2017-04-01;jung-und-alt-spezial;DE000LS9JZM8; 22151.77 ;1.0;0.0
2017-04-01;purkoninvest-deutschland;DE000LS9ADV5; 22012.19 ;0.95;0.05
2017-04-01;dividenden-strategie-d-eu-usa;DE000LS9BTG0; 20654.95 ;0.88;0.12
2017-04-01;ar-relative-staerke;DE000LS9GPH5; 20050.27 ;0.98;0.01
2017-04-01;qualitaet-mit-relativer-staerke;DE000LS9JLW7; 19984.37 ;0.21;0.79
2017-04-01;light-version-nach-levermann;DE000LS9KMC5; 19446.37 ;1.0;0.0
2017-04-01;it-software-und-ehealth;DE000LS9HM51; 19411.74 ;0.97;0.03
2017-04-01;all-time-long;DE000LS9GEX6; 19004.88 ;0.66;0.34
2017-04-01;ratioinvest-aktien-werte;DE000LS9HN43; 18329.57 ;0.74;0.26
2017-04-01;investor-2141;DE000LS9BZS2; 18237.93 ;0.89;0.11
2017-04-01;deutsche-nebenwerte-02;DE000LS9FXF5; 18219.92 ;0.65;0.35
2017-04-01;marktfuehrer-deutschland;DE000LS9DNC8; 17771.21 ;0.71;0.29
2017-04-01;empfehlungen-von-boersenbriefen;DE000LS9JPK3; 17695.16 ;0.91;0.09
2017-04-01;bmrt-global-konservativ;DE000LS9CXV9; 17584.72 ;1.0;0.0
2017-04-01;value-bollinger-analyse-ger;DE000LS9HJF0; 17461.97 ;0.57;0.43
2017-04-01;bmrt-de-trend;DE000LS9DEK0; 17258.18 ;0.97;0.03
2017-04-01;value-werte-familienunternehmen;DE000LS9CTZ8; 17217.10 ;1.01;-0.01
2017-04-01;preis-und-wert-valuedepot;DE000LS9GEQ0; 17140.33 ;0.92;0.08
2017-04-01;real-value;DE000LS9J4Z4; 16799.80 ;1.0;0.0
2017-04-01;simple-value-investing;DE000LS9FCM5; 16407.86 ;1.0;0.0
2017-04-08;deutscher-mittelstand;DE000LS9CTA1; 5615011.49 ;1.0;0.0
2017-04-08;carpe-diem-aktientrading;DE000LS9HFZ6; 4862483.14 ;0.41;0.59
2017-04-08;abacus;DE000LS9HZ72; 2745849.74 ;0.21;0.79
2017-04-08;chancen-suchen-und-finden;DE000LS9BNT6; 1963581.61 ;1.0;0.0
2017-04-08;special-situations;DE000LS9AKJ5; 1839869.66 ;0.84;0.16
2017-04-08;aschenputtell;DE000LS9EUF4; 1429928.89 ;0.95;0.05
2017-04-08;quality-fundamental-selection;DE000LS9JLP1; 1154574.06 ;0.7;0.3
2017-04-08;uro-am-sonntag-var-strategie;DE000LS9HDH9; 982668.16 ;0.99;0.01
2017-04-08;fundamental-unterbewertete-aktien;DE000LS9ADM4; 684579.89 ;0.83;0.17
2017-04-08;goldesel-investing;DE000LS9KR85; 679457.83 ;0.77;0.23
2017-04-08;aktien-yeah;DE000LS9BUM6; 654168.46 ;0.81;0.19
2017-04-08;trendfolge-strategie-2014;DE000LS9DMX6; 460701.04 ;0.94;0.06
2017-04-08;die-dividendenstrategie;DE000LS9APT3; 428248.30 ;0.94;0.06
2017-04-08;value-momentum-plus;DE000LS9BAK2; 422592.83 ;1.0;0.0
2017-04-08;investmentfox-nebenwerte;DE000LS9ELB2; 393751.27 ;0.95;0.04
2017-04-08;nebenwerte-deutschland;DE000LS9CSY3; 373991.59 ;0.93;0.07
2017-04-08;wachstum-mit-nur-einer-aktie;DE000LS9BDT7; 363027.33 ;0.52;0.48
2017-04-08;momentumstrategie-deutschland;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;selektion-nach-leverm-offensiv;DE000LS9KHW3; 344051.07 ;1.0;0.0
2017-04-08;mawero-effizienz1;DE000LS9BAA3; 233605.23 ;1.0;0.0
2017-04-08;top-pics-of-the-year;DE000LS9HYC6; 223201.90 ;1.0;0.0
2017-04-08;solide-unternehmen;DE000LS9CWG2; 221208.66 ;0.03;0.97
2017-04-08;immobilienfirmen;DE000LS9DKA8; 221056.96 ;0.95;0.05
2017-04-08;passiv-momentum-12m;DE000LS9FGK0; 216088.97 ;1.0;-0.0
2017-04-08;trend-select-prime;DE000LS9GCT8; 208713.51 ;0.99;0.01
2017-04-08;deutsche-immobilienaktien;DE000LS9BSM0; 205443.39 ;0.91;0.09
2017-04-08;germanallcap-fokus-nebenwerte;DE000LS9HGA7; 202844.98 ;0.8;0.2
2017-04-08;regel-nr-1-kein-geld-verlieren;DE000LS9DLQ2; 191963.06 ;0.97;0.03
2017-04-08;pferde-in-form;DE000LS9KJ85; 191544.30 ;0.8;0.2
2017-04-08;tenbagger-sei-aufmerksam;DE000LS9CNZ1; 182905.83 ;0.93;0.07
2017-04-08;mawero-effizienz2;DE000LS9FLR5; 178449.24 ;1.0;0.0
2017-04-08;europa-finest-selection;DE000LS9CPX1; 169608.95 ;0.99;0.01
2017-04-08;trendstaerke-rangliste-deutschl;DE000LS9DVV1; 165447.08 ;0.71;0.29
2017-04-08;qi-minimum-volatility-germany;DE000LS9J0X7; 158676.42 ;1.0;0.0
2017-04-08;small-caps-on-stereoids;DE000LS9AET7; 151574.88 ;0.32;0.68
2017-04-08;deutschl-analysten-empfehlungen;DE000LS9FKS5; 143817.41 ;0.94;0.06
2017-04-08;small-caps;DE000LS9AQL8; 133983.81 ;0.72;0.28
2017-04-08;wachstum-mit-substanz;DE000LS9CPJ0; 133576.59 ;0.79;0.21
2017-04-08;stock-picking-nach-peter-lynch;DE000LS9CVN0; 128841.03 ;0.7;0.3
2017-04-08;westfalian-alpha;DE000LS9ARA9; 114938.34 ;1.0;0.0
2017-04-08;reversal-chancen;DE000LS9BRH2; 110008.22 ;0.13;0.87
2017-04-08;stockpicker-smallmidcap-und-cash;DE000LS9H754; 108723.48 ;1.0;0.0
2017-04-08;selectplus;DE000LS9ANN1; 106361.19 ;0.64;0.36
2017-04-08;chancen-vs-risiken-deutschland;DE000LS9AEZ4; 101788.50 ;0.76;0.24
2017-04-08;value-ansatz-mit-deutschen-aktien;DE000LS9APX5; 97864.44 ;0.65;0.35
2017-04-08;trend-select-small-caps;DE000LS9FQD4; 81979.01 ;1.0;0.0
2017-04-08;qualitaetsaktien-nach-levermann;DE000LS9K4Z1; 68415.12 ;0.97;0.03
2017-04-08;technotrading-deutsche-midcaps;DE000LS9BNV2; 65818.85 ;0.97;0.03
2017-04-08;relative-staerke-deu;DE000LS9KCL7; 64423.57 ;1.0;0.0
2017-04-08;nebenwerte-europa;DE000LS9HP25; 62966.42 ;1.0;-0.0
2017-04-08;nebenwerte-nach-checkliste;DE000LS9KB18; 53471.15 ;0.88;0.12
2017-04-08;all-in-001;DE000LS9JPN7; 52384.21 ;0.97;0.03
2017-04-08;growth-opportunity;DE000LS9J3W3; 47189.78 ;0.97;0.03
2017-04-08;aktien-alpha-bullenbrief;DE000LS9AZV8; 46476.45 ;1.0;0.0
2017-04-08;immobilien-palis-one;DE000LS9EHK1; 46102.86 ;1.0;0.0
2017-04-08;value-momentum-langfrist-aktien;DE000LS9AFX6; 45662.59 ;1.01;-0.01
2017-04-08;momentum-4;DE000LS9JGK2; 43502.65 ;1.0;-0.0
