date;name;isin;invested_captial;equity;cash
2017-04-01;amb-global-value-pearls;DE000LS9HGV3; 14689.20 ;0.54;0.46
2017-04-01;geduld-ist-die-pforte-der-freude;DE000LS9EGU2; 14417.60 ;0.88;0.12
2017-04-01;gs-turnover-strategy;DE000LS9DYP7; 13356.53 ;0.98;0.02
2017-04-01;quantitativ-usa-l-m-caps;DE000LS9CKP8; 13302.21 ;1.0;0.0
2017-04-01;greenblatt-value-investing;DE000LS9DCT5; 12761.57 ;1.01;-0.01
2017-04-01;hohe-dividenden-pipeline-usa-mlp;DE000LS9KB00; 11577.10 ;1.01;-0.01
2017-04-01;usdivgrowth;DE000LS9AZK1; 11262.13 ;0.99;0.01
2017-04-01;drf-internationale-aktien;DE000LS9AXA7; 10926.01 ;0.92;0.08
2017-04-01;daten-das-oel-des-21-jhd;DE000LS9JSJ9; 10720.21 ;1.0;0.0
2017-04-01;trendsignaleusa;DE000LS9KKC9; 10672.44 ;0.94;0.06
2017-04-01;dividend-aristocrats-s-p-werte;DE000LS9DCR9; 10593.04 ;0.99;0.01
2017-04-01;algo-trading;DE000LS9ETC3; 10312.97 ;0.99;0.01
2017-04-01;mpinvest-dividenden-trends;DE000LS9AZA2; 10059.76 ;1.0;0.0
2017-04-01;aktien-internet-e-commerce;DE000LS9BLW4; 9394.37 ;0.58;0.42
2017-04-01;disruptive-innovation-balanced;DE000LS9JCE4; 9194.84 ;0.29;0.71
2017-04-01;weltweite-spezialitaeten;DE000LS9AYV1; 9076.32 ;1.0;-0.0
2017-04-01;quantenstein-junior;DE000LS9H440; 8773.29 ;0.99;0.01
2017-04-01;big-dogs-usa-10;DE000LS9AJR0; 8494.82 ;1.0;-0.01
2017-04-01;halbleiter-technologien;DE000LS9KQN3; 8273.32 ;1.0;-0.0
2017-04-01;plainalpha-u-s-target-income;DE000LS9HLQ3; 8186.22 ;0.94;0.06
2017-04-01;kgv-als-indikator;DE000LS9CMS8; 8121.15 ;0.79;0.21
2017-04-01;it-security;DE000LS9GKL8; 7866.76 ;0.83;0.17
2017-04-01;s-p500-werte-dividendenstrategie;DE000LS9DCM0; 7773.17 ;0.99;0.01
2017-04-01;divergent-trading;DE000LS9H8B8; 7021.81 ;0.94;0.06
2017-04-01;aggressive-technology;DE000LS9BJU2; 6628.90 ;0.74;0.26
2017-04-01;strategie-nach-levermann-us;DE000LS9KMV5; 6556.00 ;1.0;0.0
2017-04-01;gute-kennzahlen-mit-robo-auswahl;DE000LS9KP79; 6555.16 ;0.94;0.06
2017-04-01;3d-printing;DE000LS9ETT7; 6477.01 ;1.04;-0.04
2017-04-01;100-champions;DE000LS9KBL9; 6450.53 ;0.66;0.34
2017-04-01;jaytrader;DE000LS9GTG9; 6355.80 ;1.0;-0.0
2017-04-01;performa-100;DE000LS9GFK0; 6139.52 ;1.02;-0.02
2017-04-01;investieren-wie-warren-buffett;DE000LS9CXM8; 6017.06 ;0.9;0.1
2017-04-01;transformation-automotive;DE000LS9KK33; 5893.76 ;0.82;0.18
2017-04-01;trendfolge-trading-simplified;DE000LS9BCC5; 5874.99 ;1.0;0.0
2017-04-01;valueinvest-nach-warrenbuffet;DE000LS9GCY8; 5811.60 ;0.99;0.01
2017-04-01;bio-health-tech-trading;DE000LS9DLX8; 5546.76 ;0.45;0.55
2017-04-01;gelassenlangfristig;DE000LS9CFG7; 5526.11 ;0.74;0.26
